text,label
aaj bahut khush hu!,0
got my results and i topped!!,0
life is beautiful yaar,0
mast din tha!,0
mujhe scholarship mil gaya!,0
i m so happy 4 u!,0
bhagwan ka shukr hai,0
finally not sad anymore,0
stress is over!,0
khushi ke aansu aaye!,0
best day eva!!,0
meri dosti sabse pyari hai,0
masti ki night thi!,0
diwali ki shubhkamnayein,0
i did it!!,0
bachpan ka din tha aaj,0
mera birthday aaya!,0
holi ki masti,0
pyaar bhara din tha,0
maine apne sapne poore kiye!,0
mujhe nayi job mil gayi!,0
shukr hai bhagwan ka,0
bhagwan ne meri sun li!,0
khushi se naach rahi hu!,0
jivan mein khushiyon ka samay,0
sab kuch theek ho jayega,0
meri zindagi mein khushiyan,0
dosti ki khushi,0
pyar ki jeet,0
jeet ki khushi,0
khushiyon se bhar do zindagi,0
aaj ka din sach mein amazing tha,0
mujhe apne doston par garv hai,0
"main khush nahi, main bahut khush hu!",0
jivan mein khushiyon ki bahar,0
mujhe nayi bike mil gayi!,0
meri manzil ab door nahi,0
masti ki baatein,0
khushiyon ka tyohar,0
maine apni manzil pa li!,0
bhagwan ka aashirvaad,0
khushiyon se jivan safar,0
meri dosti ki kahani,0
zindagi mein khushiyon ki zarurat,0
main bahut khush hu,0
mujhe apni zindagi par garv hai,0
"dil khush hai, zindagi khush hai",0
aaj ka din khushiyon se bhara hua tha,0
khushiyon ki duniya,0
mujhe khushiyon ki chahat hai,0
khushiyon se apni zindagi ko sanwaro,0
jivan mein khushiyon ki zarurat hai,0
"main khush hu, main bahut khush hu",0
life is so beautiful,0
meri zindagi ki khushi,0
aaj mere liye bahut accha din tha,0
im not feeling good at all,1
bahut akela feel ho raha hai,1
nothing makes me happy anymore,1
mera exam ke chakkar mein head dard ho raha hai,1
"not okay, cant sleep at nite",1
"kuch samajh nahi aa raha, sab confusion hai",1
"sab boring hai, kuch naya nahi hai",1
"not fine, family ke problems se pareshan hu",1
"dont feel happy, relationship mein kuch gadbad hai",1
"can't feel good, im so lonely",1
"nothing feels good, sleep nahi aa raha",1
"achha nahi lag raha, kuch galat ho raha hai",1
im so stressed about my exams,1
meri girlfriend mujhe ignore kar rahi hai,1
"feeling lost, kuch samajh nahi aa raha",1
"not happy with my life, kuch naya karna chahta hu",1
family problems se bahut pareshan hu,1
"sleep nahi aa raha, stress ke chakkar mein hu",1
"kuch nahi achha lag raha, sab kharab hai",1
"not feeling good, im so anxious",1
mera dost mujhe dhokha de gaya,1
"im so sad, kuch samajh nahi aa raha",1
"not okay, meri family ke beech mein ladai ho rahi hai",1
"kuch nahi samajh aa raha, sab galat ho raha hai",1
"sab kharab hai, nothing is going right",1
"im not feeling good, meri health ke chakkar mein hu",1
"not fine, im so stressed about my future",1
"kuch nahi mil raha, sab galat ho raha hai",1
meri life mein kuch nahi achha hai,1
"not happy, im so lonely and sad",1
"kuch samajh nahi aa raha, sab confusion hai",1
"im so anxious, not feeling good at all",1
mera relationship mein kuch gadbad hai,1
"not okay, im so stressed about my exams",1
"kuch nahi achha lag raha, sab kharab hai",1
"sab boring hai, kuch naya nahi hai",1
"im so sad, meri family ke beech mein ladai ho rahi hai",1
"not fine, im so stressed about my life",1
"kuch nahi samajh aa raha, sab galat ho raha hai",1
"nothing feels good, im so anxious",1
"meri life mein kuch nahi achha hai, sab kharab hai",1
"im not feeling good, meri health ke chakkar mein hu",1
"not okay, im so lonely and sad",1
"kuch nahi mil raha, sab galat ho raha hai",1
"sab kharab hai, nothing is going right",1
"im so stressed, not feeling good at all",1
"mera dost mujhe dhokha de gaya, im so sad",1
"not happy, im so anxious and sad",1
"kuch samajh nahi aa raha, sab confusion hai",1
"im so lost, kuch nahi achha lag raha",1
"meri family ke beech mein ladai ho rahi hai, im so stressed",1
"not fine, im so stressed about my future",1
"kuch nahi achha lag raha, sab kharab hai",1
"sab boring hai, kuch naya nahi hai, im so sad",1
"im not feeling good, meri life mein kuch nahi achha hai",1
"not okay, im so anxious and stressed",1
"kuch nahi samajh aa raha, sab galat ho raha hai",1
"nothing feels good, im so lonely and sad",1
"meri relationship mein kuch gadbad hai, im so stressed",1
"im so sad, meri family ke beech mein ladai ho rahi hai",1
"not fine, im so stressed about my exams",1
"kuch nahi achha lag raha, sab kharab hai",1
"sab kharab hai, nothing is going right, im so anxious",1
"im not feeling good, meri health ke chakkar mein hu",1
"not okay, im so lonely and sad, kuch nahi achha lag raha",1
"kuch nahi mil raha, sab galat ho raha hai, im so stressed",1
"meri life mein kuch nahi achha hai, sab kharab hai, im so sad",1
mujhe jeene ka mann nahi hai,2
i feel like dying is the only option,2
sab khatam karna chahta hu,2
koi meri parvah nahi karta,2
i cant take it anymore,2
not wanting to live is killing me,2
marna mujhe sabse achha lagta hai,2
kisi ko meri zaroorat nahi,2
i dont want to be here anymore,2
mera dil toot gaya hai,2
main marna chahta hu,2
nobody would miss me if i die,2
jeene ki ichha nahi hai,2
main sab kuch khatam kar dena chahta hu,2
i just want to disappear,2
koi mujhe bachaaye,2
i feel so alone and helpless,2
mujhe lagta hai ki marna hi behtar hoga,2
i wish i could just vanish,2
meri zindagi ki koi ahmiyat nahi,2
mujhe apne aap ko nuksan pahunchana hai,2
i feel like giving up on life,2
main apni zindagi se tang aa gaya hu,2
kisi ko mujhe bachane ki zaroorat hai,2
i want to end my life,2
mujhe jeene ka mann nahi hai,2
i just want to escape,2
main marna chahta hu kyunki koi mujhe pyar nahi karta,2
nobody cares about me,2
i feel so trapped and helpless,2
sab kuch khatam ho gaya hai,2
mujhe lagta hai ki main zindagi ki ladai haar gaya hu,2
i dont know how to go on,2
main apne aap ko marna chahta hu,2
