text,label
life is fine bestie,0
why is everything so hopeless?,1
"goodbye everyone, i am going to kill myself",2
bhai i'm deadass tired,1
"bhai i'm no way out, i just wanna zahar kha lun",2
i feel depressed bhai,1
feeling literally crushing it because i passed my exams,0
i'm literally udas ig,1
just met my friends and feeling lit,0
i am feeling chill today,0
feeling totally productive because i going to a party,0
why is everything so lonely?,1
why is everything so tired?,1
life is mast literally,0
life is slaying vibes,0
bestie i'm goated yaar,0
bestie i'm goated tho,0
tbh finally slept well,0
just slept well and feeling badhiya,0
better to disappear forever than live like this,2
life is lit bhai,0
i am going to die,2
bhai i'm deadass finished,1
everything is sorted tho,0
feeling hopeless and hopeless at the same time,1
basically today was better,0
i feel cooked vibes,1
zindagi khatam karne ka mann kar raha hai,2
bhai i'm deadass sad,1
life is better fr,0
i want to quit life ig,2
why is everything so sad?,1
"bhai i'm no way out, i just wanna khatam karun",2
i want to die tho,2
better to quit life than live like this,2
yar i super fumbled today,1
"bhai i'm worthless, i just wanna jump off",2
feeling stressed and stressed at the same time,1
yar i kafi fumbled today,1
life is slaying lol,0
life is fine smh,0
listen i hella fumbled today,1
"lowkey i feel like a burden, i should khatam karun",2
deadass gonna jump off,2
i feel burnt out tho,1
i am feeling slaying today,0
i feel down bad literally,1
i want to jaan dena bhai,2
i am feeling better today,0
ngl finally got a job,0
no cap finally chilling with fam,0
bhai i'm deadass overwhelmed,1
"bhai i'm a burden, i just wanna quit life",2
i feel sad bhai,1
"ab nahi jhela jata, i want to end it all",2
everything is goated vibes,0
fr i am just hopeless,1
bhai i so fumbled today,1
"ab nahi jhela jata, i want to quit life",2
life is mast smh,0
deadass gonna never wake up,2
"ngl i feel like no way out, i should kill myself",2
life is badhiya no cap,0
i am going to end it all,2
i feel depressed tho,1
i am feeling crushing it today,0
feeling deadass fine because i slept well,0
"goodbye everyone, i am going to suicide",2
bruh i am just cooked,1
bestie i'm better rn,0
i feel overwhelmed lol,1
i want to never wake up vibes,2
basically today was slaying,0
better to jaan dena than live like this,2
better to suicide than live like this,2
"ab nahi jhela jata, i want to khatam karun",2
bhai today was productive,0
bahut burnt out feel ho raha hai fr,1
i am going to kill myself,2
feeling finished and finished at the same time,1
i'm literally fumbled vibes,1
i am going to jump off,2
just found a new banger song and feeling better,0
i'm literally down bad cooked,1
tension is making me hopeless,1
"goodbye everyone, i am going to disappear forever",2
everything is chill literally,0
bestie i'm vibing cooked,0
i feel lonely bestie,1
fr i kafi fumbled today,1
life is vibing smh,0
i feel burnt out bhai,1
lowkey i am just down bad,1
breakup is making me cooked,1
i am going to never wake up,2
everything is chill tho,0
i'm literally numb ig,1
deadass i am just stressed,1
tbh finally finished the project,0
listen today was slaying,0
burden is making me numb,1
"ab nahi jhela jata, i want to zahar kha lun",2
academic pressure is making me burnt out,1
i want to khatam karun fr,2
bestie i'm vibing no cap,0
feeling tired and tired at the same time,1
i want to disappear forever cooked,2
"goodbye everyone, i am going to die",2
life is lit smh,0
better to die than live like this,2
bestie i'm crushing it no cap,0
deadass i am just tired,1
bestie i'm badhiya tho,0
"fr i feel like broken, i should khatam karun",2
i feel fumbled yaar,1
"yar i feel like done with life, i should khatam karun",2
"ab nahi jhela jata, i want to hurt myself",2
bestie i'm lit bhai,0
bahut stressed feel ho raha hai bhai,1
i am feeling vibing today,0
"ab nahi jhela jata, i want to die",2
tension is making me tired,1
bruh finally passed my exams,0
feeling literally sorted because i found a new banger song,0
just chilling with fam and feeling vibing,0
i want to jump off smh,2
just got a job and feeling sorted,0
pressure is making me stressed,1
everything is crushing it smh,0
"goodbye everyone, i am going to khatam karun",2
life is sorted bhai,0
i'm literally cooked fr,1
i feel overwhelmed smh,1
feeling fumbled and fumbled at the same time,1
deadass finally passed my exams,0
yar i am just finished,1
i'm literally sad bhai,1
yar finally hit a new pr,0
fomo is making me depressed,1
honestly i am just burnt out,1
bahut depressed feel ho raha hai bestie,1
life is fine vibes,0
why is everything so cooked?,1
"no cap i feel like a burden, i should jump off",2
feeling exhausted and exhausted at the same time,1
i want to zahar kha lun lol,2
i want to disappear forever ig,2
just hit a new pr and feeling better,0
feeling down bad and down bad at the same time,1
i am feeling badhiya today,0
i feel cooked tho,1
feeling super lit because i chilling with fam,0
bestie i'm goated smh,0
i feel fumbled cooked,1
i feel stressed no cap,1
deadass gonna end it all,2
no cap today was badhiya,0
everything is vibing vibes,0
"goodbye everyone, i am going to zahar kha lun",2
i feel burnt out ig,1
bestie i'm fine bestie,0
life is mast fr,0
bhai i'm deadass cooked,1
i am feeling goated today,0
basically i super fumbled today,1
i want to marna bhai,2
life is slaying no cap,0
i'm literally fumbled bestie,1
"bhai i'm failure at everything, i just wanna never wake up",2
tbh i am just down bad,1
life is mast tho,0
bhai i'm deadass burnt out,1
just slept well and feeling productive,0
bhai i'm deadass fumbled,1
feeling depressed and depressed at the same time,1
life is chill cooked,0
fr i am just finished,1
everything is vibing fr,0
feeling deadass goated because i chilling with fam,0
i'm literally tired no cap,1
deadass gonna marna,2
no cap finally slept well,0
i want to khatam karun ig,2
i want to jump off lol,2
i'm literally exhausted yaar,1
bahut stressed feel ho raha hai bestie,1
stress is making me fumbled,1
just secured the bag and feeling fine,0
yar i am just fumbled,1
"goodbye everyone, i am going to quit life",2
i am going to hurt myself,2
bruh finally secured the bag,0
"ngl i feel like hopeless af, i should marna",2
i want to hurt myself smh,2
honestly i literally fumbled today,1
deadass gonna die,2
i am feeling sorted today,0
feeling deadass crushing it because i finished the project,0
bhai i hella fumbled today,1
just got a job and feeling mast,0
"bruh i feel like finished, i should khatam karun",2
feeling very mast because i found a new banger song,0
bhai i'm deadass exhausted,1
fomo is making me fumbled,1
everything is slaying no cap,0
i feel udas rn,1
why is everything so finished?,1
i want to quit life lol,2
overthinking is making me depressed,1
bahut stressed feel ho raha hai tho,1
i'm literally exhausted fr,1
deadass i totally fumbled today,1
i'm literally tired vibes,1
just going to a party and feeling crushing it,0
i am going to suicide,2
honestly today was goated,0
just met my friends and feeling better,0
honestly i am just overwhelmed,1
"bhai i'm worthless, i just wanna disappear forever",2
bestie i'm sorted literally,0
i feel numb cooked,1
lowkey i am just fumbled,1
just going to a party and feeling sorted,0
i want to end it all bhai,2
feeling overwhelmed and overwhelmed at the same time,1
i'm literally lonely vibes,1
tbh finally secured the bag,0
deadass finally got a job,0
"fr i feel like worthless, i should kill myself",2
yar finally met my friends,0
yar i very fumbled today,1
bhai finally secured the bag,0
tbh i am just lonely,1
"honestly i feel like a burden, i should never wake up",2
bestie i'm badhiya rn,0
everything is productive no cap,0
i am going to disappear forever,2
bahut hopeless feel ho raha hai tho,1
everything is productive ig,0
"ab nahi jhela jata, i want to never wake up",2
"lowkey i feel like done with life, i should quit life",2
i want to jump off rn,2
i want to jaan dena vibes,2
i feel finished no cap,1
feeling very crushing it because i met my friends,0
bestie i'm crushing it bestie,0
overthinking is making me sad,1
feeling lonely and lonely at the same time,1
honestly i very fumbled today,1
i want to jump off cooked,2
i am feeling productive today,0
feeling numb and numb at the same time,1
bruh i super fumbled today,1
i feel fumbled fr,1
just secured the bag and feeling better,0
feeling deadass mast because i met my friends,0
honestly i really fumbled today,1
"bruh i feel like a burden, i should jaan dena",2
fr today was better,0
life is lit bestie,0
i am going to zahar kha lun,2
i'm literally down bad ig,1
life is fine ig,0
yar finally found a new banger song,0
feeling literally fine because i finished the project,0
bestie i'm chill rn,0
bhai i'm deadass depressed,1
listen today was mast,0
i'm literally exhausted no cap,1
failure is making me stressed,1
feeling kafi mast because i slept well,0
"basically i feel like done with life, i should khatam karun",2
stress is making me exhausted,1
honestly finally finished the project,0
i want to suicide lol,2
bhai i'm deadass hopeless,1
i feel hopeless lol,1
"bhai i feel like failure at everything, i should zahar kha lun",2
deadass gonna suicide,2
"bhai i'm hopeless af, i just wanna suicide",2
bahut finished feel ho raha hai bhai,1
why is everything so stressed?,1
listen i really fumbled today,1
fomo is making me tired,1
i am going to khatam karun,2
tbh today was lit,0
"goodbye everyone, i am going to end it all",2
deadass i am just lonely,1
feeling super vibing because i going to a party,0
feeling super lit because i found a new banger song,0
i want to quit life fr,2
"ab nahi jhela jata, i want to suicide",2
i feel tired bhai,1
pressure is making me down bad,1
"bhai i'm done with life, i just wanna die",2
basically finally got a job,0
bestie i'm badhiya ig,0
i want to die bestie,2
everything is badhiya literally,0
i am feeling lit today,0
bestie i'm crushing it cooked,0
failure is making me burnt out,1
"bhai i'm a burden, i just wanna jump off",2
feeling totally chill because i got a job,0
"bhai i'm a burden, i just wanna hurt myself",2
everything is badhiya cooked,0
life is better tho,0
feeling kafi mast because i finished the project,0
"bhai i feel like broken, i should never wake up",2
bestie i'm lit yaar,0
just hit a new pr and feeling sorted,0
stress is making me burnt out,1
bruh today was sorted,0
bruh today was vibing,0
basically today was crushing it,0
"bhai i'm worthless, i just wanna marna",2
feeling burnt out and burnt out at the same time,1
tbh today was sorted,0
deadass gonna hurt myself,2
everything is goated bhai,0
"bhai i'm broken, i just wanna marna",2
i'm literally fumbled smh,1
"bhai i'm no way out, i just wanna jump off",2
i feel lonely cooked,1
why is everything so numb?,1
why is everything so fumbled?,1
stress is making me down bad,1
bahut down bad feel ho raha hai smh,1
"basically i feel like finished, i should quit life",2
i want to quit life smh,2
bahut burnt out feel ho raha hai bhai,1
i'm literally stressed no cap,1
honestly i so fumbled today,1
life is vibing cooked,0
deadass gonna quit life,2
i feel overwhelmed no cap,1
i am going to jaan dena,2
feeling totally badhiya because i going to a party,0
i want to hurt myself yaar,2
bestie i'm lit vibes,0
fomo is making me stressed,1
bhai i'm deadass numb,1
i'm literally finished lol,1
tbh today was mast,0
stress is making me sad,1
feeling cooked and cooked at the same time,1
bhai i'm deadass udas,1
deadass gonna disappear forever,2
i am going to marna,2
lowkey i am just udas,1
bahut lonely feel ho raha hai lol,1
just met my friends and feeling slaying,0
i feel burnt out cooked,1
i feel overwhelmed bhai,1
everything is fine literally,0
just finished the project and feeling fine,0
just got a job and feeling vibing,0
no cap finally secured the bag,0
just slept well and feeling fine,0
"ngl i feel like no way out, i should zahar kha lun",2
"listen i feel like worthless, i should jaan dena",2
i feel stressed lol,1
i want to zahar kha lun rn,2
"ab nahi jhela jata, i want to jaan dena",2
bahut exhausted feel ho raha hai bhai,1
feeling so sorted because i got a job,0
better to never wake up than live like this,2
"honestly i feel like broken, i should jaan dena",2
fr finally chilling with fam,0
bahut overwhelmed feel ho raha hai smh,1
bestie i'm vibing bhai,0
"bhai i'm done with life, i just wanna quit life",2
i'm literally down bad vibes,1
"tbh i feel like broken, i should marna",2
"ab nahi jhela jata, i want to jump off",2
"bhai i'm failure at everything, i just wanna die",2
"goodbye everyone, i am going to jaan dena",2
bruh today was better,0
"goodbye everyone, i am going to never wake up",2
"bhai i'm no way out, i just wanna kill myself",2
fomo is making me finished,1
deadass gonna kill myself,2
i am feeling fine today,0
yar i am just depressed,1
life is vibing bestie,0
just secured the bag and feeling mast,0
everything is better bestie,0
"bhai i'm a burden, i just wanna kill myself",2
"bhai i'm worthless, i just wanna quit life",2
honestly i deadass fumbled today,1
bestie i'm fine yaar,0
bahut lonely feel ho raha hai literally,1
academic pressure is making me sad,1
i want to zahar kha lun fr,2
just chilling with fam and feeling better,0
bhai today was better,0
i'm literally stressed bhai,1
lowkey today was mast,0
i'm literally depressed literally,1
"bhai i'm broken, i just wanna jump off",2
bhai i'm deadass stressed,1
feeling kafi slaying because i going to a party,0
better to hurt myself than live like this,2
i want to jump off literally,2
"bhai i'm no way out, i just wanna end it all",2
i feel cooked bestie,1
bestie i'm fine lol,0
better to kill myself than live like this,2
better to zahar kha lun than live like this,2
bahut exhausted feel ho raha hai fr,1
just passed my exams and feeling sorted,0
i want to disappear forever bestie,2
i feel finished fr,1
better to marna than live like this,2
i want to end it all bestie,2
"yar i feel like no way out, i should kill myself",2
feeling kafi better because i met my friends,0
feeling sad and sad at the same time,1
deadass gonna khatam karun,2
yar finally got a job,0
bahut depressed feel ho raha hai tho,1
"goodbye everyone, i am going to jump off",2
fr i am just burnt out,1
life is fine yaar,0
i'm literally down bad no cap,1
failure is making me sad,1
everything is better no cap,0
feeling deadass fine because i going to a party,0
"ab nahi jhela jata, i want to kill myself",2
lowkey i am just hopeless,1
i want to suicide cooked,2
deadass i am just fumbled,1
everything is better yaar,0
